ID,Title,Status,Genre,Date Added
1,To Kill a Mockingbird,To Read,Classic,2024-01-05
2,1984,In Progress,Dystopian,2024-02-12
3,The Great Gatsby,Completed,Classic,2024-03-10
4,The Catcher in the Rye,To Read,Classic,2024-04-08
5,Brave New World,In Progress,Science Fiction,2024-05-15
6,The Road,To Read,Post-apocalyptic,2024-06-01
7,Pride and Prejudice,Completed,Romance,2024-07-19
8,The Hobbit,In Progress,Fantasy,2024-08-20
9,Moby Dick,To Read,Adventure,2024-09-05
10,War and Peace,To Read,Historical,2024-10-11
11,The Grapes of Wrath,To Read,Classic,2024-01-12
12,Animal Farm,Completed,Satire,2024-02-14
13,Frankenstein,In Progress,Gothic,2024-03-18
14,Dracula,To Read,Horror,2024-04-20
15,The Odyssey,To Read,Epic,2024-05-30
16,Les Misérables,In Progress,Historical,2024-06-12
17,Jane Eyre,Completed,Classic,2024-07-02
18,Crime and Punishment,To Read,Philosophical,2024-08-15
19,The Brothers Karamazov,To Read,Philosophical,2024-09-10
20,Wuthering Heights,In Progress,Classic,2024-10-05
21,The Divine Comedy,To Read,Epic,2024-01-08
22,The Picture of Dorian Gray,To Read,Classic,2024-02-10
23,Ulysses,Completed,Modernist,2024-03-19
24,The Metamorphosis,To Read,Absurdist,2024-04-27
25,Heart of Darkness,In Progress,Novella,2024-05-18
26,Don Quixote,Completed,Adventure,2024-06-25
27,The Stranger,To Read,Existentialist,2024-07-30
28,Madame Bovary,In Progress,Realist,2024-08-12
29,Faust,To Read,Tragedy,2024-09-03
30,The Trial,To Read,Absurdist,2024-10-22
